slug,name,address
tekka-place,Tekka Place,"2 Serangoon Road, S(218227)"
25-lorong-8-toa-payoh,25 Lorong 8 Toa Payoh,"25 Lorong 8 Toa Payoh, Singapore 319263"
scape,*Scape,2 Orchard Link Singapore 237978
12-tai-seng-link,12 Tai Seng Link,12 Tai Seng Link Singapore 534233
18-new-industrial-road,18 New Industrial Road,18 New Industrial Road Singapore 536205
35-43-kranji-way,35-43 Kranji Way,43 Kranji Way Singapore 739448
351-on-braddell,351 on Braddell,351 Braddell Road Singapore 579713
15-changi-business-park,15 Changi Business Park,15 Changi Business Park Singapore 486057
admirax,Admirax,8 Admiralty Street Singapore 757438
18-tai-seng,18 Tai Seng,18 Tai Seng Street Singapore 539775
9-tagore,9@Tagore,9 Tagore Lane Singapore 787472
amk-autopoint,AMK Autopoint,10 Ang Mo Kio Industrial Park 2A Singapore 568047
ang-mo-kio-community-hospital,Ang Mo Kio Community Hospital,17 Ang Mo Kio Avenue 9 Singapore 569766
amk-hub,AMK Hub,53 Ang Mo Kio Avenue 3 Singapore 569933
amtech-building,Amtech Building,157 Sin Ming Road Singapore 575624
10-raeburn-park,10 Raeburn Park,"10 Raeburn Park, Singapore 088702"
10-winstedt,10 Winstedt,10 Winstedt Road Singapore 227977
888-plaza,888 Plaza,888 Woodlands Drive 5 Singapore 731888
ang-mo-kio-polyclinic-nhgp,Ang Mo Kio Polyclinic (NHGP),21 Ang Mo Kio Central 2 Singapore 569666
100-am-shopping-mall,100 AM Shopping Mall,100 Tras Street Singapore 079027
171-kallang-way,171 Kallang Way,"171 Kallang Way, S(349250)"
1557-keppel-road,1557 Keppel Road,1557 Keppel Road Singapore 089066
ark-gambas,Ark @ Gambas,"7 Gambas Crescent, Singapore 757087"
183-longhaus,183 Longhaus,183 Upper Thompson Road Singapore 574429
26-tai-seng-street,26 Tai Seng Street,26 Tai Seng Street Singapore 534057
burghley-lifestyle-hub,Burghley Lifestyle Hub,45 Burghley Drive Singapore 559022
bishan-sports-centre,Bishan Sports Centre,7 Bishan Street 14 Singapore 579784
20-collyer-quay,20 Collyer Quay,20 Collyer Quay Singapore 049319
causeway-point,Causeway Point,1 Woodlands Square Singapore 738099
211-henderson,211 Henderson,211 Henderson Road Singapore 159552
entrepreneur-centre,Entrepreneur Centre,50 Tagore Lane Singapore 787494
city-square-mall,City Square Mall,"180 Kitchener Road, Singapore 208539"
7-9-tampines-grande-hitachi-square,7 & 9 Tampines Grande (Hitachi Square),7 & 9 Tampines Grande Singapore 528736
farrer-park-medical-centre,Farrer Park Medical Centre,1 Farrer Park Station Road Singapore 217562
farrer-park-hospital,Farrer Park Hospital,1 Farrer Park Station Road Singapore 217562
advantech-industrial-building,Advantech Industrial Building,17 Sims Drive
aps-industrial-building,APS Industrial Building,49 Jalan Pemimpin Singapore 577203
anglican-care-centre-simei,Anglican Care Centre (Simei),10 Simei Street 3 Singapore 529897
ark-kb,Ark @ KB,68 Kaki Bukit Avenue 6 Singapore 417896
aljunied-hougang-town-council,Aljunied-Hougang Town Council,147 Serangoon North Avenue 1 Singapore 550147
268-orchard-road,268 Orchard Road,268 Orchard Road Singapore 238856
aspial-one,Aspial One,55 Ubi Avenue 3 Singapore 408864
audio-house-building,Audio House Building,23 Ubi Road 3 Singapore 408620
atrix-building,Atrix Building,82 Lorong 23 Geylang Singapore 388409
28-maxwell-rd,28 Maxwell Rd,28 Maxwell Road Singapore 069120
30-bencoolen,30 Bencoolen,30 Bencoolen Street Singapore 189621
336-river-valley,336 River Valley,336 River Valley Road Singapore 238366
313-somerset,313@Somerset,313 Orchard Road Singapore 238895
automobile-megamart-aml,Automobile Megamart (AML),61 Ubi Avenue 2 Singapore 408898
bedok-community-centre,Bedok Community Centre,850 Upper Changi Road Singapore 467352
bedok-central-blk-215a-multi-storey-car-park,Bedok Central Blk 215A (Multi-Storey Car Park),215A Bedok Central Singapore 461215
50-scotts-road,50 Scotts Road,50 Scotts Road Singapore 228242
51-bencoolen-street,51 Bencoolen Street,51 Bencoolen Street Singapore 189630
bedok-reservoir-park,Bedok Reservoir Park,739A Bedok Reservoir Road Singapore 471739
bedok-mall,Bedok Mall,311 New Upper Changi Road Singapore 467360
bedok-reservoir-park-b,Bedok Reservoir Park B,Tampines Avenue 10
6-raffles-quay,6 Raffles Quay,6 Raffles Quay Singapore 048580
51-cuppage-road,51 Cuppage Road,51 Cuppage Road Singapore 29469
8-central-link,8 Central Link,8 Jalan Kilang Barat Singapore 159351
79-anson-road,79 Anson Road,79 Anson Road Singapore 079906
albert-court-hotel,Albert Court Hotel,180 Albert Street Singapore 189971
abdul-gaffoor-mosque,Abdul Gaffoor Mosque,41 Dunlop Street Singapore 209369
floravista-floraview,FloraVista & FloraView,7 Ang Mo Kio Street 66 Singapore 567708
albert-complex,Albert Complex,60 Albert Street Singapore 189969
gain-city-megastore,Gain City Megastore,"71 Sungei Kadut Drive, Singapore 729577"
highland-centre,Highland Centre,"22 Yio Chu Kang Road, Singapore 545535"
hdb-blk-4a-6a-woodlands-centre-road,HDB Blk 4A / 6A (Woodlands Centre Road),"4A Woodlands Centre Road, Singapore 731004"
hdb-hub-toa-payoh,HDB Hub (Toa Payoh),"480 Toa Payoh Lorong 6, Singapore 310480"
bedok-shopping-complex,Bedok Shopping Complex,348 Bedok Road Singapore 469535
hillv2,HillV2,"4 Hillview Rise, Singapore 667979"
hometeamns-khatib,HomeTeamNS Khatib,"2 Yishun Walk, Singapore 767944"
hometeamns-bedok-reservoir,HomeTeamNS Bedok Reservoir,"900 Bedok North Road, Singapore 479994"
hong-heng-mansions,Hong Heng Mansions,"58 Sembawang Road, Singapore 779087"
bedok-stadium-sports-hall-clubfitt-gym,Bedok Stadium / Sports Hall / ClubFITT Gym,1 Bedok North Street 2 Singapore 469642
ite-headquarters-ite-college-central-open-carpark,ITE Headquarters & ITE College Central (Open carpark),"2 Ang Mo Kio Drive, Singapore 567720"
big-splash,Big Splash,902 East Coast Parkway Singapore 449874
ite-headquarters-ite-college-central-sheltered-carpark,ITE Headquarters & ITE College Central (Sheltered Carpark),"2 Ang Mo Kio Drive, Singapore 567720"
jackson-square,Jackson Square,"11 Lorong 3 Toa Payoh, Singapore 319579"
bread-talk-ihq,Bread Talk IHQ,30 Tai Seng Street Singapore 534013
alexandra-retail-centre,Alexandra Retail Centre,460 Alexandra Road Singapore 119963
altez,Altez,16 Enggor Street Singapore 079717
capri-by-fraser,Capri by Fraser,"3 Changi, Business Park Central 1 Singapore 486037"
bright-vision-hospital,Bright Vision Hospital,5 Lorong Napiri Singapore 547530
centrium-road,Centrium Road,320 Serangoon Road Singapore 218108
changi-airfreight-centre-cac,Changi Airfreight Centre (CAC),9 Airline Road Singapore 819827
certis-cisco-centre,Certis CISCO Centre,20 Jalan Afifi Singapore 409179
century-square,Century Square,2 Tampines Central 5 Singapore 529509
chancerlodge-complex,Chancerlodge Complex,105 Sims Avenue Singapore 387429
amara-hotel,Amara Hotel,165 Tanjong Pagar Road Singapore 088539
changi-airport-terminal-1-jewel-short-term-parking-b2m-and-b2,Changi Airport Terminal 1 / Jewel (Short-term Parking B2M and B2),80 Airport Boulevard Singapore 918146
changi-airport-south-carpark,Changi Airport South Carpark,60 Airport Boulevard Singapore 819643
changi-airport-terminal-1-jewel-general-parking-b3-to-b5,Changi Airport Terminal 1 / Jewel (General Parking B3 to B5),80 Airport Boulevard Singapore 918146
changi-airport-terminal-3,Changi Airport Terminal 3,65 Airport Boulevard Singapore 819663
changi-airport-terminal-2,Changi Airport Terminal 2,60 Airport Boulevard Singapore 819643
changi-airport-terminal-4,Changi Airport Terminal 4,10 Airport Boulevard Singapore 819665
amoy-street-off-street,Amoy Street Off Street,86 Amoy Street Singapore 069905
changi-budget-terminal,Changi Budget Terminal,30 Airport Boulevard Singapore 819662
anchorpoint-shopping-centre,Anchorpoint Shopping Centre,370 Alexandra Road Singapore 159953
changi-city-point,Changi City Point,5 Changi Business Park Central 1 Singapore 486038
changi-chapel-and-museum-the-changi-museum,Changi Chapel and Museum (The Changi Museum),1000 Upper Changi Road North Singapore 507707
jtc-aviation-two-seletar-aerospace-park,JTC Aviation Two @ Seletar Aerospace Park,"690 West Camp Road, Singapore 797523"
junction-8-basement-car-park,Junction 8 (Basement Car Park),"9 Bishan Place, Singapore 579837"
jtc-blk-970-998-toa-payoh-north,JTC Blk 970 / 998 Toa Payoh North,"970 Toa Payoh North, Singapore 318992"
jtc-aviation-one-seletar-aerospace-park,JTC Aviation One @ Seletar Aerospace Park,"700 West Camp Road, Singapore 797649"
junction-8-multi-storey-car-park,Junction 8 (Multi-Storey Car Park),"514 Bishan Street 13, Singapore 570514"
jurong-industrial-estate-penjuru-workshops,Jurong Industrial Estate (Penjuru Workshops),"28F Penjuru Close, Singapore 609134"
jurong-industrial-estate-jurong-port-workshops,Jurong Industrial Estate (Jurong Port Workshops),"27A Jurong Port Road, Singapore 619101"
junction-nine,Junction Nine,"18 Yishun Avenue 9, Singapore 768897"
khoo-teck-puat-hospital,Khoo Teck Puat Hospital,"90 Yishun Central, Singapore 768828"
arc-380,ARC 380,380 Jalan Besar Singapore 209000
34-boon-leat-terrace,34 Boon Leat Terrace,34 Boon Leat Terrace Singapore 119866
1001-bukit-merah-lane-3,1001 Bukit Merah Lane 3,1001 Bukit Merah Lane 3 Singapore 159718
asia-square-tower-2,Asia Square Tower 2,12 Marina View Singapore 018961
axa-tower,AXA Tower,8 Shenton Way Singapore 068811
asian-civilisations-museum,Asian Civilisations Museum,1 Empress Place Singapore 179555
asia-square-tower-1,Asia Square Tower 1,8 Marina View Singapore 018960
balestier-point,Balestier Point,279 Balestier Road Singapore 329727
balestier-plaza,Balestier Plaza,400 Balestier Road Singapore 329802
apex-henderson,Apex @ Henderson,201 Henderson Road S(159545)
balestier-towers,Balestier Towers,207 Balestier Road Singapore 329683
changi-point-coastal-walk-changi-beach-car-park-1-to-6,Changi Point Coastal Walk / Changi Beach (Car Park 1 to 6),Changi Beach
changi-hospital-cgh,Changi Hospital (CGH),2 Simei Street 3 Singapore 529889
changi-hotel,Changi Hotel,80 Changi Road Singapore 419715
changi-ferry-terminal,Changi Ferry Terminal,30 Changi Ferry Road Singapore 499675
changli-sailing-club,Changli Sailing Club,32 Netheravon Road Singapore 508508
changi-village-hotel,Changi Village Hotel,1 Netheravon Road Singapore 508502
charles-keith-building,Charles & Keith Building,21 Tai Seng Street Singapore 534166
chinese-swimming-club,Chinese Swimming Club,21 Amber Road Singapore 439870
alexandra-central,Alexandra Central,321 Alexandra Road S(159971)
kranji-workshop,Kranji Workshop,"6 Kranji Loop, S 739542"
bukit-timah-shopping-centre,Bukit Timah Shopping Centre,170 Upper Bukit Timah Road S(588179)
