slug,name,address,vehicle_type,day,time_start,time_end,rate
tekka-place,Tekka Place,"2 Serangoon Road, S(218227)",Car,Mon - Sun & PH,07:00 AM,06:00 PM,15 mins grace period; First hour $2.00; Subsequent 30 mins $1.00
tekka-place,Tekka Place,"2 Serangoon Road, S(218227)",Car,Mon - Sun & PH,06:00 PM,12:00 AM,15 mins grace period; $3.00 per entry
tekka-place,Tekka Place,"2 Serangoon Road, S(218227)",Car,Mon - Sun & PH,12:00 AM,07:00 AM,15 mins grace period; Per 30 mins $1.00
tekka-place,Tekka Place,"2 Serangoon Road, S(218227)",Motorcycle,Mon - Sun,07:00 AM,07:00 AM,hour grace period; $2.00 per entry
25-lorong-8-toa-payoh,25 Lorong 8 Toa Payoh,"25 Lorong 8 Toa Payoh, Singapore 319263",Car,Mon - Sun & PH,06:00 AM,06:00 AM,$1.30 per 30 mins
scape,*Scape,2 Orchard Link Singapore 237978,Car,Mon - Sun & PH,06:01 AM,06:00 PM,First hour $2.40; Subsequent 30 mins $1.40
scape,*Scape,2 Orchard Link Singapore 237978,Car,Mon - Sun & PH,06:01 PM,06:00 AM,First hour $2.40; Subsequent 30 mins $1.40
scape,*Scape,2 Orchard Link Singapore 237978,Motorcycle,Mon - Sun & PH,12:00 AM,12:00 AM,$1.60 per hour
12-tai-seng-link,12 Tai Seng Link,12 Tai Seng Link Singapore 534233,Car,Mon - Sun & PH,07:00 AM,06:59 AM,10 mins grace period; First hour $1.40; Subsequent 30 mins $0.70
12-tai-seng-link,12 Tai Seng Link,12 Tai Seng Link Singapore 534233,Motorcycle,Mon - Sun & PH,07:00 AM,06:59 AM,10 mins grace period; $0.80 per entry
12-tai-seng-link,12 Tai Seng Link,12 Tai Seng Link Singapore 534233,Commercial,Mon - Sun & PH,12:00 AM,12:00 AM,10 mins grace period; First hour $2.80; Subsequent 30 mins $1.40
18-new-industrial-road,18 New Industrial Road,18 New Industrial Road Singapore 536205,Car,Mon - Sat,07:00 AM,06:00 PM,First hour $1.28; Subsequent 30 mins $0.64
18-new-industrial-road,18 New Industrial Road,18 New Industrial Road Singapore 536205,Car,Mon - Sat,06:00 PM,07:00 AM,$2.00 per 13 hours
18-new-industrial-road,18 New Industrial Road,18 New Industrial Road Singapore 536205,Car,Sun & PH,07:00 AM,07:00 AM,$2.00 per 1 day
35-43-kranji-way,35-43 Kranji Way,43 Kranji Way Singapore 739448,Car,Mon - Sat,07:00 AM,07:00 PM,15 mins grace period; Per 30 mins $0.60
35-43-kranji-way,35-43 Kranji Way,43 Kranji Way Singapore 739448,Car,Mon - Sat,07:00 PM,07:00 AM,Free parking
35-43-kranji-way,35-43 Kranji Way,43 Kranji Way Singapore 739448,Car,Sun & PH,12:00 AM,12:00 AM,Free parking
351-on-braddell,351 on Braddell,351 Braddell Road Singapore 579713,"Car, Motorcycle",Mon - Sat,07:00 AM,10:00 PM,10 mins grace period; Per 30 mins $0.60
351-on-braddell,351 on Braddell,351 Braddell Road Singapore 579713,"Car, Motorcycle",Mon - Sat,10:00 PM,07:00 AM,10 mins grace period; $2.00 per entry
351-on-braddell,351 on Braddell,351 Braddell Road Singapore 579713,"Car, Motorcycle",Sun & PH,12:00 AM,12:00 AM,10 mins grace period; $2.00 per entry
15-changi-business-park,15 Changi Business Park,15 Changi Business Park Singapore 486057,Car,Mon - Sun & PH,07:00 AM,07:00 PM,15 mins grace period; Per 30 mins $0.60
