carpark_id,facility,day_group,window_start,window_end,rate_type,first_hour,first_Nhr,first_Nhr_covers_mins,rate_30min,rate_per_min,per_entry,raw
25_TOA_PAYOH_LORONG_8,main,weekday,00:00,24:00,hourly,,,,1.3,,,$1.30 / 30 Mins
25_TOA_PAYOH_LORONG_8,main,sat,00:00,24:00,hourly,,,,1.3,,,$1.30 / 30 Mins
25_TOA_PAYOH_LORONG_8,main,sun_ph,00:00,24:00,hourly,,,,1.3,,,$1.30 / 30 Mins
45_BURGHLEY_DRIVE,main,weekday,00:00,24:00,per_min,,,,,0.018,,$0.018 /min
45_BURGHLEY_DRIVE,main,sat,00:00,24:00,per_min,,,,,0.018,,$0.018 /min
45_BURGHLEY_DRIVE,main,sun_ph,00:00,24:00,per_min,,,,,0.018,,$0.018 /min
ANG_MO_KIO_HUB,main,weekday,00:00,24:00,tiered,1.2,,,0.6,,,$1.20 for 1st hr; $0.60 for sub. 0.5 hr or part thereof.
ANG_MO_KIO_HUB,main,sat,00:00,24:00,tiered,1.3,,,0.65,,,$1.30 for 1st hr; $0.65 for sub. 0.5 hr or part thereof.
ANG_MO_KIO_HUB,main,sun_ph,00:00,24:00,tiered,1.3,,,0.65,,,$1.30 for 1st hr; $0.65 for sub. 0.5 hr or part thereof.
BALESTIER_PLAZA,main,weekday,00:00,24:00,hourly,,,,0.56,,,$1.12 per hr
BALESTIER_PLAZA,main,sat,00:00,24:00,hourly,,,,0.56,,,$1.12 per hr
BALESTIER_PLAZA,main,sun_ph,00:00,24:00,hourly,,,,0.56,,,$1.12 per hr
BALESTIER_POINT,main,weekday,08:00,22:00,hourly,,,,0.6,,,$1.20 per hr
BALESTIER_POINT,main,weekday,22:00,24:00,per_entry,,,,,,2,$2 per entry
BALESTIER_POINT,main,sat,08:00,22:00,hourly,,,,0.6,,,$1.20 per hr
BALESTIER_POINT,main,sat,22:00,24:00,per_entry,,,,,,2,$2 per entry
BALESTIER_POINT,main,sun_ph,00:00,24:00,per_entry,,,,,,2,$2 per entry
BRAS_BASAH_COMPLEX,main,weekday,07:00,17:00,hourly,,,,1,,,$1 for 0.5 hr
BRAS_BASAH_COMPLEX,main,weekday,17:00,01:00 +1d,hourly,,,,0.5,,,$0.50 for 0.5 hr
BRAS_BASAH_COMPLEX,main,sat,07:00,17:00,hourly,,,,1,,,$1 for 0.5 hr
BRAS_BASAH_COMPLEX,main,sat,17:00,01:00 +1d,hourly,,,,0.5,,,$0.50 for 0.5 hr
BRAS_BASAH_COMPLEX,main,sun_ph,07:00,01:00 +1d,hourly,,,,0.5,,,$0.50 for 0.5 hr
CAUSEWAY_POINT,main,weekday,07:00,22:30,tiered,1.2,,,0.6,,,$1.20 for 1st hr or part thereof; $0.60 for sub.0.5 hr or part thereof
CAUSEWAY_POINT,main,sat,07:00,24:00,tiered,1.2,,,0.6,,,$1.20 for 1st hr or part thereof; $0.60 for sub. 0.5 hr or part thereof
CAUSEWAY_POINT,main,sun_ph,07:00,24:00,tiered,1.2,,,0.6,,,$1.20 for 1st hr or part thereof; $0.60 for sub. 0.5 hr or part thereof
CENTRAL_PLACE,main,weekday,00:00,24:00,tiered,1.8,,,0.85,,,$1.80 for 1st hr; $0.85 for 0.5 hr
